event_id,avg_speed,avg_hr,heart_rate_stop,cadence_stop
310,11.3657009,131.5135422,159,82
310,11.3657009,131.5135422,131,84
310,11.3657009,131.5135422,132,81
310,11.3657009,131.5135422,126,83
310,11.3657009,131.5135422,128,79
310,11.3657009,131.5135422,131,78
310,11.3657009,131.5135422,131,83
310,11.3657009,131.5135422,104,84
310,11.3657009,131.5135422,142,81
310,11.3657009,131.5135422,146,79
310,11.3657009,131.5135422,125,80
108,11.37052947,163.8978037,153,85
768,11.37431528,143.459102,142,83
768,11.37431528,143.459102,131,83
768,11.37431528,143.459102,131,86
768,11.37431528,143.459102,134,85
768,11.37431528,143.459102,114,59
768,11.37431528,143.459102,147,84
706,11.37442695,138.0301825,167,83
706,11.37442695,138.0301825,169,82
706,11.37442695,138.0301825,163,83
706,11.37442695,138.0301825,132,83
706,11.37442695,138.0301825,132,82
706,11.37442695,138.0301825,135,83
706,11.37442695,138.0301825,130,83
706,11.37442695,138.0301825,134,83
706,11.37442695,138.0301825,141,83
706,11.37442695,138.0301825,142,84
706,11.37442695,138.0301825,143,83
706,11.37442695,138.0301825,138,88
750,11.38021398,146.7084779,171,85
750,11.38021398,146.7084779,166,82
750,11.38021398,146.7084779,163,82
750,11.38021398,146.7084779,135,83
750,11.38021398,146.7084779,152,83
675,11.38810601,143.3512807,142,84
675,11.38810601,143.3512807,141,85
675,11.38810601,143.3512807,135,83
675,11.38810601,143.3512807,167,83
675,11.38810601,143.3512807,164,83
613,11.38949786,140.6692876,130,83
613,11.38949786,140.6692876,143,82
613,11.38949786,140.6692876,137,83
613,11.38949786,140.6692876,126,82
613,11.38949786,140.6692876,139,86
613,11.38949786,140.6692876,132,88
613,11.38949786,140.6692876,148,84
613,11.38949786,140.6692876,147,85
54,11.39803385,139.8948718,148,82
558,11.40661546,142.004771,177,81
558,11.40661546,142.004771,136,81
558,11.40661546,142.004771,130,81
558,11.40661546,142.004771,142,82
558,11.40661546,142.004771,141,83
673,11.41544155,144.3865979,169,84
673,11.41544155,144.3865979,156,84
831,11.41569012,143.3188406,131,81
831,11.41569012,143.3188406,142,82
831,11.41569012,143.3188406,125,82
831,11.41569012,143.3188406,122,0
251,11.41667121,159.9406667,166,81
251,11.41667121,159.9406667,164,82
251,11.41667121,159.9406667,175,89
448,11.41928567,131.3169919,124,82
