event_id,total_running_time,heart_rate_stop,avg_hr,avg_speed,avg_temp
110,270,158,156.9107143,14.20249176,16
119,270,153,162.357193,13.63178779,16
134,272,156,152.8026735,12.44712914,32
250,272,182,175.8231047,11.653187,0
310,272,159,131.5135422,11.3657009,21
811,273,160,147.9395589,12.67819929,16
820,273,165,142.6821809,11.93404661,12
43,274,139,154.2322893,12.37423998,4
299,274,164,153.7496635,12.55786018,15
272,275,165,141.2669718,12.93716407,14
144,277,153,154.9451567,13.99220513,24
476,277,107,139.2009536,12.12095616,3
135,278,161,155.7290363,15.85348536,24
483,278,161,142.6484065,12.67416286,9
584,278,138,135.7148453,11.9700973,19
710,279,97,139.8891844,11.91775053,11
145,281,158,149.2709114,14.4985903,20
583,281,158,150.2539219,12.86167968,23
657,282,137,148.8694648,11.7695663,30
800,282,164,153.1344095,12.84634902,16
567,283,141,140.1416838,12.12138577,5
663,283,141,157.7307745,12.37343112,29
96,284,174,163.5007496,13.8260468,8
592,284,156,138.4963156,11.19528687,25
611,284,144,139.5548545,11.06759033,31
681,284,147,150.8111965,12.82400132,23
152,285,162,158.2961918,14.13959281,24
260,285,178,152.1223502,12.73178309,3
330,285,166,149.8450106,13.03356688,16
506,289,169,147.2384519,11.76096629,2
65,290,155,144.4270463,9.956165125,-1
797,290,163,147.2979777,12.02068675,5
66,292,150,151.6160584,13.02983737,1
763,292,155,141.7130435,11.87127384,1
304,293,168,165.3728949,15.38680417,10
569,293,157,133.8945445,11.25614471,8
589,293,139,140.4366293,11.20080284,23
120,294,161,160.6370848,14.20895548,20
670,294,134,146.1532928,13.29324604,25
379,295,123,112.8872215,10.26521746,24
674,295,140,141.4364833,12.19855193,25
331,296,155,144.6890424,12.25198697,21
175,297,141,148.86,13.49623862,17
449,297,162,147.0018645,12.62140087,15
635,297,163,144.6788775,12.29004624,24
209,298,164,154.1025595,12.07064157,0
710,299,163,139.8891844,11.91775053,11
767,300,107,138.8564488,11.83420813,3
590,302,164,152.2497663,11.60578486,31
632,303,148,159.4849878,12.54627363,33
811,303,166,147.9395589,12.67819929,16
16,304,125,143.0171329,12.58336786,23
113,304,160,163.0726073,13.52878816,14
53,305,170,166.7409836,19.84047344,3
297,305,165,148.6532731,12.03950819,19
678,305,165,139.8629168,11.78029613,16
